"RUID","UID","Census","Set","SubSet","PlotCode","Plot","Tra","Qua","Crit","Sample","Tag","Species","PosX","PosY","Sup","Rep","FrutPerBranch","NumbBranch","AvrgSeeds","CAR","RecrYr","DeadYr","ExcYr","RincYr","Height","CovD1","CovD2","DBH01","DBH02","DBH03","DBH04","DBH05","DBH06","DBH07","DBH08","DBH09","DBH10","DBH11","DBH12","DBH13","DBH14","DBH15","DBH16","DBH17","DBH18","DBH19","DBH20","DBH21","DBH22","DBH23","DBH24","DBH25","DBH26","DBH27","DBH28","DBH29","DBH30","minDBH","maxDBH","Basal.cm2.plot","Basal.m2.ha","Cob.m2.plot","Cob.m2.ha","Dens.ha","Rec.ha","Mu.ha","Stems","Observaciones.anuales","Historial.de.objeto","X","id","Age.init","Fst.cens","plot","Age.census","TotFrut","TotSeeds"
"21559603","215596",2003,"SecCan",NA,"SC04","ABE",1,"2","C","100","27","Mimosa acantholoba","3.25","5",1,"",NA,NA,NA,NA,NA,2008,NA,NA,3.25,1.7,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.3,"13273228961","0.013273229",17357299411,"1735729941108","100","0",0,1,"c/ tocon chico multitallo quemado","","","pABEi27q2",10,2003,4,10,0,0
"21560203","215602",2003,"SecCan",NA,"SC04","ABE",1,"2","C","100","28","Mimosa acantholoba","0.2","5.65",1,"",NA,NA,NA,NA,NA,2008,NA,NA,2.8,0.8,1.3,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,1.15,"10386890711","0.010386891",0.81681409,"816814089933","100","0",0,1,"c/ tocon chico multitallo quemado","","","pABEi28q2",10,2003,4,10,0,0
"21562603","215626",2003,"SecCan",NA,"SC04","ABE",1,"2","C","100","30","Mimosa acantholoba","0.7","6",1,"",NA,NA,NA,NA,NA,2010,NA,NA,3.07,1.5,1.25,1.15,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,1.4,"25780694714","0.025780695",14726215564,"147262155637","100","0",0,2,"","","","pABEi30q2",10,2003,4,10,0,0
"21557203","215572",2003,"SecCan",NA,"SC04","ABE",1,"2","C","100","25","Mimosa acantholoba","4.15","7.1",1,"",NA,NA,NA,NA,NA,2004,NA,NA,2.45,0.6,0.8,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.4,"15393804003","0.015393804",0.376991118,"376991118431","100","0",0,1,"c/ toconcito parece quemado. c/ hongos en base","","","pABEi25q2",10,2003,4,10,0,0
"21563303","215633",2003,"SecCan",NA,"SC04","ABE",1,"2","C","200","31","Mimosa acantholoba","4.47","7.25",1,"",NA,NA,NA,NA,NA,2016,NA,NA,4.85,3,3.2,3.75,2.3,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,3.75,"215788145393","0.107894073",75398223686,"3769911184308","50","0",0,3,"ramif. desde base","","","pABEi31q2",10,2003,4,10,0,0
"21556503","215565",2003,"SecCan",NA,"SC04","ABE",1,"2","C","100","24","Mimosa acantholoba","4.6","7.7",1,"",NA,NA,NA,NA,NA,NA,NA,NA,2.9,1.8,1.9,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.2,"11309733553","0.011309734",26860617188,"2686061718819","100","0",0,1,"crec. bien 1 solo tallo","","","pABEi24q2",10,2003,4,10,0,0
"21555803","215558",2003,"SecCan",NA,"SC04","ABE",1,"2","C","100","23","Mimosa acantholoba","4.4","8.9",1,"",NA,NA,NA,NA,NA,NA,NA,NA,3.25,1.8,2.3,1.2,1.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.8,"5686282703","0.056862827",32515483965,"3251548396465","100","0",0,3,"c/ tocon chico quemado y varios rebrotes mtos.","","","pABEi23q2",10,2003,4,10,0,0
"21549703","215497",2003,"SecCan",NA,"SC04","ABE",1,"3","B","200","3","Mimosa acantholoba","4","10.75",1,"",NA,NA,NA,NA,NA,NA,NA,NA,3.87,3,3.5,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,"66051985542","0.033025993",82466807157,"4123340357837","50","0",0,1,"crec. der. s/ ramif pero oprimida x ind 02","","","pABEi3q3",10,2003,4,10,0,0
"21537403","215374",2003,"SecCan",NA,"SC04","ABE",1,"4","A","400","1","Mimosa acantholoba","3.25","16.1",1,"",NA,NA,NA,NA,NA,2010,NA,NA,5,4,3.8,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,6.3,"311724531052","0.077931133",119380520836,"298451302091","25","0",0,1,"ok. remif. desde base. c/ 1 toconcito quemado","","","pABEi1q4",10,2003,4,10,0,0
"21586203","215862",2003,"SecCan",NA,"SC04","ABE",2,"1","C","100","56","Mimosa acantholoba","0","1.2",1,"",NA,NA,NA,NA,NA,2013,NA,NA,3.7,1.4,1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.6,"20106192983","0.020106193",10995574288,"1099557428756","100","0",0,1,"c/ toconcito en base. ramif desde base","","","pABEi56q1",10,2003,4,10,0,0
"21582403","215824",2003,"SecCan",NA,"SC04","ABE",2,"1","C","400","52","Mimosa acantholoba","3.64","1.5",1,"",NA,NA,NA,NA,NA,NA,NA,NA,4.8,2.75,5.15,5.3,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,5.3,"293680008248","0.073420002",111232014891,"2780800372279","25","0",0,2,"1 tronco","","","pABEi52q1",10,2003,4,10,0,0
"21585503","215855",2003,"SecCan",NA,"SC04","ABE",2,"1","C","200","55","Mimosa acantholoba","2.56","1.7",1,"",NA,NA,NA,NA,NA,2016,NA,NA,3.8,2.8,3.3,2.65,2.55,3.25,3.2,2.5,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,3.25,"360242502596","0.180121251",72570790298,"3628539514896","50","0",0,6,"ramif a 10 cm de base","","","pABEi55q1",10,2003,4,10,0,0
"21587903","215879",2003,"SecCan",NA,"SC04","ABE",2,"1","C","200","57","Mimosa acantholoba","0.45","3",1,"",NA,NA,NA,NA,NA,2011,NA,NA,3.55,3.5,3.2,2.2,2.55,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,3.2,"169508558615","0.084754279",87964594301,"4398229715026","50","0",0,3,"ramif. desde base","","","pABEi57q1",10,2003,4,10,0,0
"21580003","215800",2003,"SecCan",NA,"SC04","ABE",2,"1","C","200","50","Mimosa acantholoba","2.37","3.05",1,"",NA,NA,NA,NA,NA,2011,NA,NA,4.4,1.4,2.4,2.45,2.55,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2.55,"123660940827","0.06183047",2638937829,"1319468914508","50","0",0,3,"ramif. 15 de base","","","pABEi50q1",10,2003,4,10,0,0
"21578703","215787",2003,"SecCan",NA,"SC04","ABE",2,"1","C","200","48","Mimosa acantholoba","4.7","3.1",1,"",NA,NA,NA,NA,NA,2011,NA,NA,3.77,3,2.9,2.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,"123150432021","0.061575216",68329640216,"3416482010779","50","0",0,2,"1 tronco hasta 1.20","","","pABEi48q1",10,2003,4,10,0,0
"21573203","215732",2003,"SecCan",NA,"SC04","ABE",2,"4","B","400","R11","Mimosa acantholoba","2.6","18.05",1,"",NA,NA,NA,NA,NA,NA,NA,NA,5.45,3.4,2.9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,"196349540849","0.049087385",77440258911,"1936006472775","25","0",0,1,"tronco se ramifica hasta 1 mt alt. Era 47","","","pABEiR11q4",10,2003,4,10,0,0
"21574903","215749",2003,"SecCan",NA,"SC04","ABE",2,"4","B","200","39","Mimosa acantholoba","1.3","18.75",1,"",NA,NA,NA,NA,NA,NA,NA,NA,3.6,3.7,5,3.2,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4.4,"232477856366","0.116238928",145298660229,"7264933011426","50","0",0,2,"ramif. desde base","","","pABEi39q4",10,2003,4,10,0,0
"21604303","216043",2003,"SecCan",NA,"SC04","ABE",3,"1","B","400","92","Mimosa acantholoba","0.6","4.2",1,"",NA,NA,NA,NA,NA,NA,NA,NA,5,3.9,3.5,3,5.85,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5.85,"446989729744","0.111747432",107206849304,"2680171232594","25","0",0,3,"","","","pABEi92q1",10,2003,4,10,0,0
"21595403","215954",2003,"SecCan",NA,"SC04","ABE",3,"2","A","400","84","Mimosa acantholoba","2.93","5.1",1,"",NA,NA,NA,NA,NA,NA,NA,NA,4.77,4.7,2.6,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,6.1,"2922466566","0.073061664",95975655567,"2399391389179","25","0",0,1,"","","","pABEi84q2",10,2003,4,10,0,0
"21593003","215930",2003,"SecCan",NA,"SC04","ABE",3,"4","A","400","68","Mimosa acantholoba","4.15","17.5",1,"",NA,NA,NA,NA,NA,NA,2016,NA,4.22,2.5,2.63,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,5.4,"229022104447","0.057255526",51639929243,"1290998231085","25","0",0,1,"c/ tocon quemado","","","pABEi68q4",10,2003,4,10,0,0
"21610403","216104",2003,"SecCan",NA,"SC04","ABE",3,"3","C","100","72","Mimosa acantholoba","2.94","11.95",1,"",NA,NA,NA,NA,NA,2005,NA,NA,3.3,1.2,1,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,1.85,"26880252142","0.026880252",0.942477796,"942477796077","100","0",0,1,"","","","pABEi72q3",10,2003,4,10,0,0
"21611103","216111",2003,"SecCan",NA,"SC04","ABE",3,"3","C","200","73","Mimosa acantholoba","3.02","12",1,"",NA,NA,NA,NA,NA,NA,NA,NA,4.24,3,3.4,3.85,4.25,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,4.25,"315533712145","0.157766856",80110612667,"4005530633327","50","0",0,3,"","","","pABEi73q3",10,2003,4,10,0,0
"21616603","216166",2003,"SecCan",NA,"SC04","ABE",3,"3","C","400","78","Mimosa acantholoba","0.27","12.7",1,"",NA,NA,NA,NA,NA,2013,NA,NA,3.71,3.3,4.5,5.1,3.8,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,5.1,"408485584783","0.102121396",116631627265,"2915790681613","25","0",0,3,"","","","pABEi78q3",10,2003,4,10,0,0
"21618003","216180",2003,"SecCan",NA,"SC04","ABE",3,"3","C","200","80","Mimosa acantholoba","1.85","13.64",1,"",NA,NA,NA,NA,NA,NA,NA,NA,3.62,1.8,2.2,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35,3.35,"88141308887","0.044070654",31101767271,"1555088363527","50","0",0,1,"","","","pABEi80q3",10,2003,4,10,0,0
"21608103","216081",2003,"SecCan",NA,"SC04","ABE",3,"3","C","200","70","Mimosa acantholoba","3.26","13.65",1,"",NA,NA,NA,NA,NA,2005,NA,NA,2.05,6.3,1.53,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,"49087385212","0.024543693",7570452897,"3785226448494","50","0",0,1,"","","","pABEi70q3",10,2003,4,10,0,0
"21609803","216098",2003,"SecCan",NA,"SC04","ABE",3,"3","C","100","71","Mimosa acantholoba","3.3","13.91",1,"",NA,NA,NA,NA,NA,2006,NA,NA,3.44,1.5,2,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,2.35,"43373613574","0.043373614",23561944902,"2356194490192","100","0",0,1,"","","","pABEi71q3",10,2003,4,10,0,0
"21607403","216074",2003,"SecCan",NA,"SC04","ABE",3,"3","C","100","69","Mimosa acantholoba","3.05","14.03",1,"",NA,NA,NA,NA,NA,2007,NA,NA,3.44,1.7,2.8,2.35,1.6,1.5,2.2,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2.35,"158925318363","0.158925318",37384952578,"3738495257772","100","0",0,5,"c/ tocon quemado","","","pABEi69q3",10,2003,4,10,0,0
"21617303","216173",2003,"SecCan",NA,"SC04","ABE",3,"3","C","400","79","Mimosa acantholoba","0.06","14.4",1,"",NA,NA,NA,NA,NA,2012,NA,NA,4.15,2.9,4.4,5.35,5.3,5.25,2.55,1.55,3.1,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,5.35,"895452081044","0.22386302",10021680565,"2505420141238","25","0",0,7,"","","","pABEi79q3",10,2003,4,10,0,0
"21592303","215923",2003,"SecCan",NA,"SC04","ABE",3,"4","A","400","67","Mimosa acantholoba","4.01","17.7",1,"",NA,NA,NA,NA,NA,NA,NA,NA,4.54,4.5,2.9,5.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95,5.95,"278050584797","0.069512646",102494460323,"2562361508084","25","0",0,1,"","","","pABEi67q4",10,2003,4,10,0,0
"21626503","216265",2003,"SecCan",NA,"SC04","ABE",4,"1","A","400","119","Mimosa acantholoba","1.43","0.5",1,"",NA,NA,NA,NA,NA,2015,NA,NA,4.1,3.7,3.5,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,5.3,"220618344098","0.055154586",10170906216,"2542726553999","25","0",0,1,"","","","pABEi119q1",10,2003,4,10,0,0
"21644903","216449",2003,"SecCan",NA,"SC04","ABE",4,"2","B","200","118","Mimosa acantholoba","0.25","5.25",1,"",NA,NA,NA,NA,NA,2014,NA,NA,5,2.9,4.1,3.9,3.25,3.5,2.5,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3.9,"407111137997","0.203555569",93383841628,"4669192081398","50","0",0,5,"","","","pABEi118q2",10,2003,4,10,0,0
"21640103","216401",2003,"SecCan",NA,"SC04","ABE",4,"2","B","200","114","Mimosa acantholoba","2.4","5.65",1,"",NA,NA,NA,NA,NA,2008,NA,NA,4.1,1.7,2.8,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,3.25,"82957681009","0.041478841",37384952578,"1869247628886","50","0",0,1,"","","","pABEi114q2",10,2003,4,10,0,0
"21639503","216395",2003,"SecCan",NA,"SC04","ABE",4,"2","B","200","113","Mimosa acantholoba","0.86","5.9",1,"",NA,NA,NA,NA,NA,2016,NA,NA,3.72,2.3,2,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3,"119773219918","0.05988661",36128315516,"1806415775814","50","0",0,2,"","","","pABEi113q2",10,2003,4,10,0,0
"21641803","216418",2003,"SecCan",NA,"SC04","ABE",4,"2","B","200","115","Mimosa acantholoba","2.89","5.95",1,"",NA,NA,NA,NA,NA,2011,NA,NA,3.7,1.8,1,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,2.85,"63793965822","0.031896983",14137166941,"706858347058","50","0",0,1,"","","","pABEi115q2",10,2003,4,10,0,0
"21638803","216388",2003,"SecCan",NA,"SC04","ABE",4,"2","B","200","112","Mimosa acantholoba","0.7","6.4",1,"",NA,NA,NA,NA,NA,2005,NA,NA,2.9,2.8,2.2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,"49087385212","0.024543693",48380526865,"2419026343264","50","0",0,1,"","","","pABEi112q2",10,2003,4,10,0,0
"21636403","216364",2003,"SecCan",NA,"SC04","ABE",4,"2","B","200","110","Mimosa acantholoba","0.4","7.45",1,"",NA,NA,NA,NA,NA,2005,NA,NA,3.6,2.6,1.8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,"125663706144","0.062831853",36756634047,"183783170235","50","0",0,1,"C/ 2 ramas medianas mtas (sombreado por tabebuia)","","","pABEi110q2",10,2003,4,10,0,0
"21642503","216425",2003,"SecCan",NA,"SC04","ABE",4,"2","B","200","116","Mimosa acantholoba","4.33","7.5",1,"",NA,NA,NA,NA,NA,2010,NA,NA,3.85,2.12,2.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,"70685834706","0.035342917",4162610266,"2081305133003","50","0",0,1,"","","","pABEi116q2",10,2003,4,10,0,0
"21650003","216500",2003,"SecCan",NA,"SC04","ABE",4,"4","C","200","95","Mimosa acantholoba","3.6","15.15",1,"",NA,NA,NA,NA,NA,2009,NA,NA,3.96,3.2,5,2.7,1.5,2.3,2.75,3.15,2.15,1.75,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3.15,"339606165853","0.169803083",125663706144,"628318530718","50","0",0,8,"","","","pABEi95q4",10,2003,4,10,0,0
"21654803","216548",2003,"SecCan",NA,"SC04","ABE",4,"4","C","100","99","Mimosa acantholoba","3.57","15.92",1,"",NA,NA,NA,NA,NA,2007,NA,NA,3.07,1.6,3.8,1.3,2.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.1,"55763269601","0.05576327",47752208335,"4775220833456","100","0",0,3,"","","","pABEi99q4",10,2003,4,10,0,0
"21653103","216531",2003,"SecCan",NA,"SC04","ABE",4,"4","C","400","98","Mimosa acantholoba","0.13","16.6",1,"",NA,NA,NA,NA,NA,NA,NA,NA,4.56,4.98,6.4,3.65,4.25,3.3,6.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,6.85,"700555526796","0.175138882",250322102638,"6258052565951","25","0",0,4,"","","","pABEi98q4",10,2003,4,10,0,0
"21652403","216524",2003,"SecCan",NA,"SC04","ABE",4,"4","C","200","97","Mimosa acantholoba","1.2","17.6",1,"",NA,NA,NA,NA,NA,2015,2010,2012,3.57,3.9,3.45,2.85,2.75,2.25,2.7,2.5,2.1,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.85,"361184980392","0.18059249",105675322885,"5283766144256","50","0",0,7,"","","","pABEi97q4",10,2003,4,10,0,0
"21649403","216494",2003,"SecCan",NA,"SC04","ABE",4,"4","C","200","94","Mimosa acantholoba","4.99","18",1,"",NA,NA,NA,NA,NA,NA,NA,NA,4.32,4,3.9,3.7,1.75,2.5,3.3,3.9,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,3.9,"427197696026","0.213598848",12252211349,"61261056745","50","0",0,6,"","","","pABEi94q4",10,2003,4,10,0,0
"23525903","235259",2003,"SecCan",NA,"SC07","BES",1,"1","A","400","1","Mimosa acantholoba","0.3","1.45",1,"",NA,NA,NA,NA,NA,2007,NA,NA,5,4.38,4.26,5.8,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,5.8,"480683310953","0.120170828",146545872512,"36636468128","25","0",0,2,"ramif desde base","","","pBESi1q1",11,2003,7,11,0,0
"23529703","235297",2003,"SecCan",NA,"SC07","BES",1,"2","B","200","5","Mimosa acantholoba","2.3","6.9",1,"",NA,NA,NA,NA,NA,2007,NA,NA,4.75,2.48,2.73,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35,3.35,"88141308887","0.044070654",53174597255,"2658729862733","50","0",0,1,"","","","pBESi5q2",11,2003,7,11,0,0
"23534103","235341",2003,"SecCan",NA,"SC07","BES",1,"3","C","200","10","Mimosa acantholoba","4.8","12.5",1,"",NA,NA,NA,NA,NA,NA,NA,NA,5.75,2.84,2.16,3.2,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,3.2,"10180723693","0.050903619",48179464935,"2408973246773","50","0",0,2,"1 solo tronco","","","pBESi10q3",11,2003,7,11,0,0
"23540203","235402",2003,"SecCan",NA,"SC07","BES",1,"3","C","400","16","Mimosa acantholoba","0.4","12.6",1,"",NA,NA,NA,NA,NA,2005,NA,NA,4.1,2.62,2.44,1.6,1.65,1.5,3.1,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,5.1,"33891894246","0.084729736",5020893379,"1255223344742","25","0",0,5,"crec. en clarito","","","pBESi16q3",11,2003,7,11,0,0
"23542603","235426",2003,"SecCan",NA,"SC07","BES",1,"3","C","100","18","Mimosa acantholoba","2.7","13",1,"",NA,NA,NA,NA,NA,2007,NA,NA,3.75,1.65,1.2,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,1.25,"12271846303","0.012271846",15550883635,"1555088363527","100","0",0,1,"c/ hipomoea trepando","","","pBESi18q3",11,2003,7,11,0,0
"23541903","235419",2003,"SecCan",NA,"SC07","BES",1,"3","C","100","17","Mimosa acantholoba","2.3","13.35",1,"",NA,NA,NA,NA,NA,NA,NA,NA,4.3,1.89,1.55,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,"34636059006","0.034636059",23008239197,"2300823919673","100","0",0,1,"crec entre ramas de arbol gde","","","pBESi17q3",11,2003,7,11,0,0
"23544003","235440",2003,"SecCan",NA,"SC07","BES",1,"3","C","200","20","Mimosa acantholoba","3","14.8",1,"",NA,NA,NA,NA,NA,2010,NA,NA,4.7,2.09,2.54,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.2,"80424771932","0.040212386",41693646902,"2084682345106","50","0",0,1,"c/ ramas bajas mtas","","","pBESi20q3",11,2003,7,11,0,0
"23555603","235556",2003,"SecCan",NA,"SC07","BES",2,"3","B","200","59","Mimosa acantholoba","2.1","11.2",1,"",NA,NA,NA,NA,NA,2010,NA,NA,3.12,3.35,4.15,2.7,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,4.35,"205872493581","0.102936247",109189979666,"5459498983317","50","0",0,2,"ramif. desde base","","","pBESi59q3",11,2003,7,11,0,0
"23556303","235563",2003,"SecCan",NA,"SC07","BES",2,"3","B","200","60","Mimosa acantholoba","0.65","12.3",1,"",NA,NA,NA,NA,NA,NA,NA,NA,4.62,2.24,1.68,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.2,"80424771932","0.040212386",29556103685,"1477805184249","50","0",0,1,"c/ rebrote chico 10 cm sobre la base","","","pBESi60q3",11,2003,7,11,0,0
