"RUID","UID","Census","Set","SubSet","PlotCode","Plot","Tra","Qua","Crit","Sample","Tag","Species","PosX","PosY","Sup","Rep","FrutPerBranch","NumbBranch","AvrgSeeds","CAR","RecrYr","DeadYr","ExcYr","RincYr","Height","CovD1","CovD2","DBH01","DBH02","DBH03","DBH04","DBH05","DBH06","DBH07","DBH08","DBH09","DBH10","DBH11","DBH12","DBH13","DBH14","DBH15","DBH16","DBH17","DBH18","DBH19","DBH20","DBH21","DBH22","DBH23","DBH24","DBH25","DBH26","DBH27","DBH28","DBH29","DBH30","minDBH","maxDBH","Basal.cm2.plot","Basal.m2.ha","Cob.m2.plot","Cob.m2.ha","Dens.ha","Rec.ha","Mu.ha","Stems","Observaciones.anuales","Historial.de.objeto","X","id","Age.init","Fst.cens","plot","Age.census","TotFrut","TotSeeds"
"21480303","214803",2003,"SecCan",NA,"SC03","SEP",2,"4","A","400","152","Mimosa acantholoba","3.9","19.7",1,"",NA,NA,NA,NA,NA,NA,NA,NA,5.95,2.7,2.4,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,5.9,"273397100679","0.068349275",50893800988,"1272345024704","25","0",0,1,"","","","pSEPi152q4",40,2003,3,40,0,0
"21415503","214155",2003,"SecCan",NA,"SC03","SEP",3,"1","A","400","81","Mimosa acantholoba","2.8","3",1,"",NA,NA,NA,NA,NA,2008,NA,NA,5,5.6,8,12,7,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,12,"1945902489634","0.486475622",351858377202,"8796459430051","25","0",0,3,"largo de tronco caido 6.6 m"," 1 rama gde. del tronco partido c/ ramas vivas crec. verticalm.","","pSEPi81q1",40,2003,3,40,0,0
"21418603","214186",2003,"SecCan",NA,"SC03","SEP",3,"2","A","400","93","Mimosa acantholoba","0","7.35",1,"",NA,NA,NA,NA,NA,2008,NA,NA,5.5,6,4.8,13,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,13,"1564905840569","0.39122646",226194671058,"5654866776462","25","0",0,2,"2 troncos gdes desde la base"," caido-partido pero vivo. long. aprox caida 6.3","","pSEPi93q2",40,2003,3,40,0,0
"21422303","214223",2003,"SecCan",NA,"SC03","SEP",3,"3","B","400","97","Mimosa acantholoba","3.45","11.35",1,"",NA,NA,NA,NA,NA,2007,NA,NA,4.2,5.15,4.2,6.2,4.4,8.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,8.25,"988521763406","0.247130441",169881622743,"4247040568572","25","0",0,3,"caida pero viva. alt. aprox 6.5","","","pSEPi97q3",40,2003,3,40,0,0
"21425403","214254",2003,"SecCan",NA,"SC03","SEP",3,"3","B","400","101","Mimosa acantholoba","1.4","14.52",1,"",NA,NA,NA,NA,NA,2010,NA,NA,5.6,4.8,2.8,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,6.9,"373928065594","0.093482016",105557513161,"2638937829015","25","0",0,1,"crec de lado","","","pSEPi101q3",40,2003,3,40,0,0
"21431503","214315",2003,"SecCan",NA,"SC03","SEP",3,"4","C","400","104","Mimosa acantholoba","0.1","17.6",1,"",NA,NA,NA,NA,NA,2014,NA,NA,4.9,7.43,5.54,12.6,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,12.6,"198587925615","0.496469814",323287162814,"808217907035","25","0",0,2,"senescente. c/tronco partido","","","pSEPi104q4",40,2003,3,40,0,0
"21433903","214339",2003,"SecCan",NA,"SC03","SEP",3,"4","C","400","105","Mimosa acantholoba","0.65","18.3",1,"",NA,NA,NA,NA,NA,2013,NA,NA,4.5,4.7,4.25,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,8.9,"622113885227","0.155528471",156883283139,"3922082078466","25","0",0,1,"de lado. 1 tronco partido. 1 parte mta.","","","pSEPi105q4",40,2003,3,40,0,0
"21435303","214353",2003,"SecCan",NA,"SC03","SEP",3,"4","C","400","112","Mimosa acantholoba","3.6","18.45",1,"",NA,NA,NA,NA,NA,2010,NA,NA,4.5,2.4,5.2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,7.8,"477836242611","0.119459061",98017690792,"24504422698","25","0",0,1,"","","","pSEPi112q4",40,2003,3,40,0,0
"21351603","213516",2003,"SecCan",NA,"SC03","SEP",4,"1","C","200","8","Mimosa acantholoba","3.1","0.1",1,"",NA,NA,NA,NA,NA,2014,NA,NA,5.45,1.8,2.7,3.2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,3.2,"115060830938","0.057530416",38170350741,"1908517537056","50","0",0,2,"flaca. alta. c/pocas ramas con hojas","","","pSEPi8q1",40,2003,3,40,0,0
"21359203","213592",2003,"SecCan",NA,"SC03","SEP",4,"1","C","200","6","Mimosa acantholoba","4.8","1.65",1,"",NA,NA,NA,NA,NA,2007,NA,NA,4.5,1.6,2.5,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,"53092915846","0.026546458",31415926536,"1570796326795","50","0",0,1,"crec. de lado. muy delgada. c/rebrot pequeños","","","pSEPi6q1",40,2003,3,40,0,0
