"Age","ln.h1","ln.h2","h1","h2","PlotCode","sup","UID","Census","maxDBH"
11,1.62334081760309,NA,5.07,NA,"8","1","SS08-415637",2014,NA
12,NA,NA,NA,NA,"8","Dosel ","SS08-415637",2015,NA
13,NA,NA,NA,NA,"8","1","SS08-415637",2016,NA
1,NA,0.139761942375159,NA,1.15,"8","1","SS08-415750",2004,1.56
2,0.139761942375159,0.0953101798043249,1.15,1.1,"8","1","SS08-415750",2005,0.79
3,0.0953101798043249,0.29266961396282,1.1,1.34,"8","1","SS08-415750",2006,1.038
4,0.29266961396282,0.765467842139571,1.34,2.15,"8","1","SS08-415750",2007,2.44
5,0.765467842139571,1.08856195281461,2.15,2.97,"8","1","SS08-415750",2008,3.4
1,NA,-0.162518929497775,NA,0.85,"8","1","SS08-415873",2004,1.04
2,-0.162518929497775,-0.22314355131421,0.85,0.8,"8","1","SS08-415873",2005,0.52
3,-0.22314355131421,-0.105360515657826,0.8,0.9,"8","1","SS08-415873",2006,0.63
4,-0.105360515657826,0.8754687373539,0.9,2.4,"8","1","SS08-415873",2007,2.81
5,0.8754687373539,1.00795792039998,2.4,2.74,"8","1","SS08-415873",2008,3.6
6,1.00795792039998,1.25276296849537,2.74,3.5,"8","1","SS08-415873",2009,4.45
7,1.25276296849537,1.33500106673234,3.5,3.8,"8","1","SS08-415873",2010,4.6
8,1.33500106673234,1.33500106673234,3.8,3.8,"8","1","SS08-415873",2011,4.5
9,1.33500106673234,1.33500106673234,3.8,3.8,"8","1","SS08-415873",2012,4.4
10,1.33500106673234,1.14422279992016,3.8,3.14,"8","1","SS08-415873",2013,3.3
11,1.14422279992016,NA,3.14,NA,"8","1","SS08-415873",2014,NA
12,NA,NA,NA,NA,"8","1","SS08-415873",2015,NA
13,NA,NA,NA,NA,"8","1","SS08-415873",2016,NA
1,NA,0.553885113226438,NA,1.74,"8","1","SS08-442329",2004,2.17
2,0.553885113226438,NA,1.74,NA,"8","0","SS08-442329",2005,NA
1,NA,-0.446287102628419,NA,0.64,"8","1","SS08-442473",2004,0.37
3,-0.446287102628419,-0.562118918153541,0.64,0.57,"8","1","SS08-442473",2006,0.314
4,-0.562118918153541,NA,0.57,NA,"8","0","SS08-442473",2007,NA
1,NA,-0.0100503358535015,NA,0.99,"8","1","SS08-442565",2004,1.48
2,-0.0100503358535015,0.336472236621213,0.99,1.4,"8","1","SS08-442565",2005,1.47
3,0.336472236621213,0.336472236621213,1.4,1.4,"8","1","SS08-442565",2006,1.568
4,0.336472236621213,0.657520002916794,1.4,1.93,"8","1","SS08-442565",2007,2.419
5,0.657520002916794,0.854415328156068,1.93,2.35,"8","1","SS08-442565",2008,3.1
6,0.854415328156068,0.947789398933526,2.35,2.58,"8","1","SS08-442565",2009,3.3
7,0.947789398933526,1.16315080980568,2.58,3.2,"8","1","SS08-442565",2010,3.9
8,1.16315080980568,0.993251773010283,3.2,2.7,"8","1","SS08-442565",2011,3.3
9,0.993251773010283,1.07158361628019,2.7,2.92,"8","1","SS08-442565",2012,3.4
10,1.07158361628019,NA,2.92,NA,"8","0","SS08-442565",2013,NA
3,NA,0.262364264467491,NA,1.3,"8","1","SS08-443944",2006,1.823
4,0.262364264467491,0.741937344729377,1.3,2.1,"8","1","SS08-443944",2007,3.12
5,0.741937344729377,0.974559639998131,2.1,2.65,"8","1","SS08-443944",2008,4.9
6,0.974559639998131,1.07158361628019,2.65,2.92,"8","1","SS08-443944",2009,2.2
