"Age","ln.h1","ln.h2","h1","h2","PlotCode","sup","UID","Census","maxDBH"
39,1.45861502269952,1.56861591791385,4.3,4.8,"SC01","1","210126",2012,6.2
40,1.56861591791385,1.40609698841607,4.8,4.08,"SC01","1","210126",2013,4.2
41,1.40609698841607,1.25276296849537,4.08,3.5,"SC01","1","210126",2014,4
42,1.25276296849537,1.34286480319255,3.5,3.83,"SC01","1","210126",2015,4.1
43,1.34286480319255,1.1314021114911,3.83,3.1,"SC01","1","210126",2016,4.3
30,NA,1.64865862558738,NA,5.2,"SC01","1","210133",2003,5.73
31,1.64865862558738,1.62136648329937,5.2,5.06,"SC01","1","210133",2004,6
32,1.62136648329937,1.57484646766448,5.06,4.83,"SC01","1","210133",2005,6.3
33,1.57484646766448,1.6094379124341,4.83,5,"SC01","1","210133",2006,6.2
34,1.6094379124341,1.57897870494939,5,4.85,"SC01","1","210133",2007,6.5
35,1.57897870494939,1.45861502269952,4.85,4.3,"SC01","1","210133",2008,6.7
36,1.45861502269952,NA,4.3,NA,"SC01","0","210133",2009,NA
30,NA,1.21491274436427,NA,3.37,"SC01","1","210140",2003,2.73
31,1.21491274436427,1.28923264827676,3.37,3.63,"SC01","1","210140",2004,2.8
32,1.28923264827676,1.09861228866811,3.63,3,"SC01","1","210140",2005,3.1
33,1.09861228866811,1.30833281965018,3,3.7,"SC01","1","210140",2006,2.9
34,1.30833281965018,1.1314021114911,3.7,3.1,"SC01","1","210140",2007,3.5
35,1.1314021114911,1.38629436111989,3.1,4,"SC01","1","210140",2008,3.3
36,1.38629436111989,1.19392246847243,4,3.3,"SC01","1","210140",2009,3.07
37,1.19392246847243,1.22377543162212,3.3,3.4,"SC01","1","210140",2010,2.8
38,1.22377543162212,1.28093384546206,3.4,3.6,"SC01","1","210140",2011,0
39,1.28093384546206,1.3609765531356,3.6,3.9,"SC01","1","210140",2012,1932
40,1.3609765531356,1.1314021114911,3.9,3.1,"SC01","1","210140",2013,1.36
41,1.1314021114911,NA,3.1,NA,"SC01","0","210140",2014,NA
30,NA,1.62924053973028,NA,5.1,"SC01","1","210157",2003,5.07
31,1.62924053973028,1.64287268852034,5.1,5.17,"SC01","1","210157",2004,5.5
32,1.64287268852034,1.58923520511658,5.17,4.9,"SC01","1","210157",2005,6.4
33,1.58923520511658,1.62924053973028,4.9,5.1,"SC01","1","210157",2006,6
34,1.62924053973028,1.53686721959926,5.1,4.65,"SC01","1","210157",2007,6.1
35,1.53686721959926,1.48160454092422,4.65,4.4,"SC01","1","210157",2008,6
36,1.48160454092422,1.54756250871601,4.4,4.7,"SC01","1","210157",2009,6.3
37,1.54756250871601,1.6094379124341,4.7,5,"SC01","1","210157",2010,6.5
38,1.6094379124341,1.66770682055808,5,5.3,"SC01","1","210157",2011,6.8
39,1.66770682055808,1.7263316639056,5.3,5.62,"SC01","1","210157",2012,7
40,1.7263316639056,1.84054963339749,5.62,6.3,"SC01","1","210157",2013,6
41,1.84054963339749,1.69193913394584,6.3,5.43,"SC01","1","210157",2014,6.1
42,1.69193913394584,1.52605630349505,5.43,4.6,"SC01","1","210157",2015,6.1
43,1.52605630349505,1.38629436111989,4.6,4,"SC01","1","210157",2016,6.2
30,NA,1.61938824328727,NA,5.05,"SC01","1","210188",2003,4.8
31,1.61938824328727,1.42310833424261,5.05,4.15,"SC01","1","210188",2004,5
32,1.42310833424261,1.39871688111845,4.15,4.05,"SC01","1","210188",2005,5.4
33,1.39871688111845,1.70474809223843,4.05,5.5,"SC01","1","210188",2006,5.8
34,1.70474809223843,1.51512723296286,5.5,4.55,"SC01","1","210188",2007,6.1
35,1.51512723296286,1.64865862558738,4.55,5.2,"SC01","1","210188",2008,7
36,1.64865862558738,1.63899671467564,5.2,5.15,"SC01","1","210188",2009,7.7
37,1.63899671467564,1.50407739677627,5.15,4.5,"SC01","1","210188",2010,8.4
38,1.50407739677627,1.70474809223843,4.5,5.5,"SC01","1","210188",2011,7.3
39,1.70474809223843,1.78002421300963,5.5,5.93,"SC01","1","210188",2012,8
40,1.78002421300963,1.86408013080768,5.93,6.45,"SC01","1","210188",2013,8.5
41,1.86408013080768,1.90210752639692,6.45,6.7,"SC01","1","210188",2014,8.7
42,1.90210752639692,1.82454929205105,6.7,6.2,"SC01","1","210188",2015,8.8
43,1.82454929205105,1.82454929205105,6.2,6.2,"SC01","1","210188",2016,7.7
30,NA,1.38629436111989,NA,4,"SC01","1","210249",2003,3.19
31,1.38629436111989,1.44691898293633,4,4.25,"SC01","1","210249",2004,3.2
32,1.44691898293633,1.67709656090792,4.25,5.35,"SC01","1","210249",2005,3.2
33,1.67709656090792,1.30833281965018,5.35,3.7,"SC01","1","210249",2006,3.3
34,1.30833281965018,1.17865499634165,3.7,3.25,"SC01","1","210249",2007,3.5
35,1.17865499634165,1.14740245283754,3.25,3.15,"SC01","1","210249",2008,3.5
36,1.14740245283754,1.16938135955632,3.15,3.22,"SC01","1","210249",2009,3.4
37,1.16938135955632,NA,3.22,NA,"SC01","0","210249",2010,NA
30,NA,1.75785791755237,NA,5.8,"SC01","1","210263",2003,7.1
31,1.75785791755237,1.79175946922805,5.8,6,"SC01","1","210263",2004,7.65
32,1.79175946922805,1.81319474994812,6,6.13,"SC01","1","210263",2005,8.2
33,1.81319474994812,1.80828877117927,6.13,6.1,"SC01","1","210263",2006,8
34,1.80828877117927,1.98100146886658,6.1,7.25,"SC01","1","210263",2007,8.3
35,1.98100146886658,1.44691898293633,7.25,4.25,"SC01","1","210263",2008,8.6
36,1.44691898293633,1.56861591791385,4.25,4.8,"SC01","1","210263",2009,8.7
37,1.56861591791385,1.56234630490025,4.8,4.77,"SC01","1","210263",2010,8.8
38,1.56234630490025,1.30833281965018,4.77,3.7,"SC01","1","210263",2011,8.8
39,1.30833281965018,1.49065437644413,3.7,4.44,"SC01","1","210263",2012,8.8
40,1.49065437644413,1.50407739677627,4.44,4.5,"SC01","1","210263",2013,8.7
41,1.50407739677627,NA,4.5,NA,"SC01","0","210263",2014,NA
30,NA,1.49290409617815,NA,4.45,"SC01","1","210270",2003,4.34
31,1.49290409617815,1.54115907168081,4.45,4.67,"SC01","1","210270",2004,4.95
32,1.54115907168081,1.45861502269952,4.67,4.3,"SC01","1","210270",2005,5.2
33,1.45861502269952,1.4655675420144,4.3,4.33,"SC01","1","210270",2006,5.2
34,1.4655675420144,1.43508452528932,4.33,4.2,"SC01","1","210270",2007,5.6
35,1.43508452528932,1.54756250871601,4.2,4.7,"SC01","1","210270",2008,5.7
36,1.54756250871601,1.52605630349505,4.7,4.6,"SC01","1","210270",2009,5.65
37,1.52605630349505,NA,4.6,NA,"SC01","0","210270",2010,NA
30,NA,1.22377543162212,NA,3.4,"SC01","1","210317",2003,2.53
31,1.22377543162212,1.45861502269952,3.4,4.3,"SC01","1","210317",2004,2.65
32,1.45861502269952,1.30833281965018,4.3,3.7,"SC01","1","210317",2005,2.8
33,1.30833281965018,1.38629436111989,3.7,4,"SC01","1","210317",2006,2.7
34,1.38629436111989,1.37371557891303,4,3.95,"SC01","1","210317",2007,3
35,1.37371557891303,1.58923520511658,3.95,4.9,"SC01","1","210317",2008,3.5
36,1.58923520511658,1.38128181929635,4.9,3.98,"SC01","1","210317",2009,3.5
37,1.38128181929635,NA,3.98,NA,"SC01","1","210317",2010,0
38,NA,1.16315080980568,NA,3.2,"SC01","1","210317",2011,3.7
39,1.16315080980568,1.38629436111989,3.2,4,"SC01","1","210317",2012,3.7
40,1.38629436111989,1.26129787094521,4,3.53,"SC01","1","210317",2013,3.8
41,1.26129787094521,0.587786664902119,3.53,1.8,"SC01","1","210317",2014,3.8
42,0.587786664902119,0.741937344729377,1.8,2.1,"SC01","1","210317",2015,2.8
43,0.741937344729377,0.832909122935104,2.1,2.3,"SC01","1","210317",2016,2.7
30,NA,1.39871688111845,NA,4.05,"SC01","1","210324",2003,3.49
31,1.39871688111845,1.37371557891303,4.05,3.95,"SC01","1","210324",2004,3.6
32,1.37371557891303,1.52605630349505,3.95,4.6,"SC01","1","210324",2005,3.9
33,1.52605630349505,1.47017584510059,4.6,4.35,"SC01","1","210324",2006,3.7
34,1.47017584510059,1.44691898293633,4.35,4.25,"SC01","1","210324",2007,4.2
35,1.44691898293633,1.50407739677627,4.25,4.5,"SC01","1","210324",2008,4.3
36,1.50407739677627,1.30833281965018,4.5,3.7,"SC01","1","210324",2009,4.7
37,1.30833281965018,1.43508452528932,3.7,4.2,"SC01","1","210324",2010,4.2
38,1.43508452528932,1.54756250871601,4.2,4.7,"SC01","1","210324",2011,3.7
39,1.54756250871601,NA,4.7,NA,"SC01","0","210324",2012,NA
30,NA,1.33500106673234,NA,3.8,"SC01","1","210331",2003,3.67
31,1.33500106673234,1.45161382724053,3.8,4.27,"SC01","1","210331",2004,3.87
32,1.45161382724053,1.38629436111989,4.27,4,"SC01","1","210331",2005,4.3
33,1.38629436111989,1.41098697371026,4,4.1,"SC01","1","210331",2006,4.5
34,1.41098697371026,1.33500106673234,4.1,3.8,"SC01","1","210331",2007,4.9
35,1.33500106673234,1.30833281965018,3.8,3.7,"SC01","1","210331",2008,4.6
36,1.30833281965018,1.20896034583698,3.7,3.35,"SC01","1","210331",2009,5
37,1.20896034583698,NA,3.35,NA,"SC01","0","210331",2010,NA
30,NA,1.2947271675944,NA,3.65,"SC01","1","210348",2003,2.94
31,1.2947271675944,1.35325450704169,3.65,3.87,"SC01","1","210348",2004,3.1
32,1.35325450704169,NA,3.87,NA,"SC01","0","210348",2005,NA
30,NA,1.32175583998232,NA,3.75,"SC01","1","210362",2003,3.18
31,1.32175583998232,1.32175583998232,3.75,3.75,"SC01","1","210362",2004,3.3
32,1.32175583998232,0.993251773010283,3.75,2.7,"SC01","1","210362",2005,3.4
33,0.993251773010283,0.457424847038875,2.7,1.58,"SC01","0","210362",2006,NA
30,NA,1.14422279992016,NA,3.14,"SC01","1","210379",2003,3.52
31,1.14422279992016,1.22964055107451,3.14,3.42,"SC01","1","210379",2004,3.56
32,1.22964055107451,1.04731899428056,3.42,2.85,"SC01","1","210379",2005,4.3
33,1.04731899428056,NA,2.85,NA,"SC01","0","210379",2006,NA
30,NA,1.69009581545155,NA,5.42,"SC01","1","210409",2003,6.98
31,1.69009581545155,1.7281094421516,5.42,5.63,"SC01","1","210409",2004,7.1
32,1.7281094421516,1.70474809223843,5.63,5.5,"SC01","1","210409",2005,7.5
33,1.70474809223843,1.7404661748405,5.5,5.7,"SC01","1","210409",2006,7.5
34,1.7404661748405,1.41098697371026,5.7,4.1,"SC01","1","210409",2007,8.1
35,1.41098697371026,1.3609765531356,4.1,3.9,"SC01","1","210409",2008,8.5
36,1.3609765531356,1.41098697371026,3.9,4.1,"SC01","1","210409",2009,6.35
37,1.41098697371026,1.42791603581071,4.1,4.17,"SC01","1","210409",2010,2.8
38,1.42791603581071,1.48160454092422,4.17,4.4,"SC01","1","210409",2011,3.1
39,1.48160454092422,1.58923520511658,4.4,4.9,"SC01","1","210409",2012,3
40,1.58923520511658,1.6094379124341,4.9,5,"SC01","1","210409",2013,3.1
41,1.6094379124341,1.62924053973028,5,5.1,"SC01","1","210409",2014,3.3
42,1.62924053973028,1.30833281965018,5.1,3.7,"SC01","1","210409",2015,3.4
43,1.30833281965018,1.66770682055808,3.7,5.3,"SC01","1","210409",2016,3.4
30,NA,1.41098697371026,NA,4.1,"SC01","1","210416",2003,4.1
31,1.41098697371026,1.45161382724053,4.1,4.27,"SC01","1","210416",2004,4.2
32,1.45161382724053,1.48160454092422,4.27,4.4,"SC01","1","210416",2005,4.5
33,1.48160454092422,1.48160454092422,4.4,4.4,"SC01","1","210416",2006,4.3
34,1.48160454092422,1.33500106673234,4.4,3.8,"SC01","1","210416",2007,4.5
35,1.33500106673234,1.19392246847243,3.8,3.3,"SC01","1","210416",2008,4.4
36,1.19392246847243,1.23256026117785,3.3,3.43,"SC01","1","210416",2009,3.7
37,1.23256026117785,1.1314021114911,3.43,3.1,"SC01","1","210416",2010,4.5
38,1.1314021114911,NA,3.1,NA,"SC01","0","210416",2011,NA
30,NA,1.45861502269952,NA,4.3,"SC01","1","210423",2003,3.75
31,1.45861502269952,1.48160454092422,4.3,4.4,"SC01","1","210423",2004,4.1
32,1.48160454092422,NA,4.4,NA,"SC01","0","210423",2005,NA
30,NA,1.28093384546206,NA,3.6,"SC01","1","210430",2003,2.85
31,1.28093384546206,1.2947271675944,3.6,3.65,"SC01","1","210430",2004,2.9
32,1.2947271675944,1.16315080980568,3.65,3.2,"SC01","1","210430",2005,2.95
33,1.16315080980568,0.717839793150317,3.2,2.05,"SC01","1","210430",2006,2.9
34,0.717839793150317,NA,2.05,NA,"SC01","0","210430",2007,NA
30,NA,1.44691898293633,NA,4.25,"SC01","1","210447",2003,5.12
31,1.44691898293633,1.55180879959746,4.25,4.72,"SC01","1","210447",2004,5.6
32,1.55180879959746,1.68639895357023,4.72,5.4,"SC01","1","210447",2005,5.85
33,1.68639895357023,1.65822807660353,5.4,5.25,"SC01","1","210447",2006,5.8
34,1.65822807660353,1.54756250871601,5.25,4.7,"SC01","1","210447",2007,6.2
35,1.54756250871601,1.62924053973028,4.7,5.1,"SC01","1","210447",2008,6.15
36,1.62924053973028,1.62924053973028,5.1,5.1,"SC01","1","210447",2009,6.9
37,1.62924053973028,1.52605630349505,5.1,4.6,"SC01","1","210447",2010,7.5
38,1.52605630349505,1.66770682055808,4.6,5.3,"SC01","1","210447",2011,7.6
39,1.66770682055808,1.65632149833295,5.3,5.24,"SC01","1","210447",2012,8
40,1.65632149833295,1.62924053973028,5.24,5.1,"SC01","1","210447",2013,8
41,1.62924053973028,1.28093384546206,5.1,3.6,"SC01","1","210447",2014,7.9
42,1.28093384546206,1.62924053973028,3.6,5.1,"SC01","1","210447",2015,7.9
43,1.62924053973028,1.64865862558738,5.1,5.2,"SC01","1","210447",2016,7.9
31,NA,1.66770682055808,NA,5.3,"SC01","1","210461",2004,5
32,1.66770682055808,1.54756250871601,5.3,4.7,"SC01","1","210461",2005,5.4
33,1.54756250871601,1.32175583998232,4.7,3.75,"SC01","1","210461",2006,5.3
34,1.32175583998232,1.22377543162212,3.75,3.4,"SC01","1","210461",2007,5.9
35,1.22377543162212,1.38629436111989,3.4,4,"SC01","1","210461",2008,6
36,1.38629436111989,1.26129787094521,4,3.53,"SC01","1","210461",2009,6.1
37,1.26129787094521,1.38629436111989,3.53,4,"SC01","1","210461",2010,6.5
38,1.38629436111989,1.50407739677627,4,4.5,"SC01","1","210461",2011,6.5
39,1.50407739677627,1.66770682055808,4.5,5.3,"SC01","1","210461",2012,6.6
40,1.66770682055808,1.67709656090792,5.3,5.35,"SC01","1","210461",2013,6.8
41,1.67709656090792,1.35583515363518,5.35,3.88,"SC01","1","210461",2014,6.7
42,1.35583515363518,1.16315080980568,3.88,3.2,"SC01","1","210461",2015,6.7
43,1.16315080980568,1.19392246847243,3.2,3.3,"SC01","1","210461",2016,6.7
30,NA,1.71199450075919,NA,5.54,"SC01","1","210485",2003,9.22
31,1.71199450075919,1.76473079684014,5.54,5.84,"SC01","1","210485",2004,9.8
32,1.76473079684014,1.67709656090792,5.84,5.35,"SC01","1","210485",2005,10.4
33,1.67709656090792,1.7227665977411,5.35,5.6,"SC01","1","210485",2006,10.4
34,1.7227665977411,1.70474809223843,5.6,5.5,"SC01","1","210485",2007,10.6
35,1.70474809223843,1.86408013080768,5.5,6.45,"SC01","1","210485",2008,11.5
36,1.86408013080768,1.85629799036563,6.45,6.4,"SC01","1","210485",2009,11.4
37,1.85629799036563,1.85629799036563,6.4,6.4,"SC01","1","210485",2010,12.1
38,1.85629799036563,1.85629799036563,6.4,6.4,"SC01","1","210485",2011,12.3
39,1.85629799036563,1.85629799036563,6.4,6.4,"SC01","1","210485",2012,13
40,1.85629799036563,1.90210752639692,6.4,6.7,"SC01","1","210485",2013,12.9
41,1.90210752639692,1.84054963339749,6.7,6.3,"SC01","1","210485",2014,12.9
42,1.84054963339749,1.88706964903238,6.3,6.6,"SC01","1","210485",2015,12.9
43,1.88706964903238,1.87946504964716,6.6,6.55,"SC01","1","210485",2016,12.7
30,NA,1.43508452528932,NA,4.2,"SC01","1","210492",2003,5.16
31,1.43508452528932,1.45395300959371,4.2,4.28,"SC01","1","210492",2004,5.1
32,1.45395300959371,1.48160454092422,4.28,4.4,"SC01","1","210492",2005,5.2
33,1.48160454092422,0.993251773010283,4.4,2.7,"SC01","1","210492",2006,5
34,0.993251773010283,1.02961941718116,2.7,2.8,"SC01","1","210492",2007,5
35,1.02961941718116,NA,2.8,NA,"SC01","0","210492",2008,NA
32,NA,1.58923520511658,NA,4.9,"SC01","1","210553",2005,5
33,1.58923520511658,1.5993875765806,4.9,4.95,"SC01","0","210553",2006,NA
31,NA,1.46325540225602,NA,4.32,"SC01","1","210577",2004,5
32,1.46325540225602,1.56861591791385,4.32,4.8,"SC01","1","210577",2005,5.1
33,1.56861591791385,1.49290409617815,4.8,4.45,"SC01","1","210577",2006,5
34,1.49290409617815,NA,4.45,NA,"SC01","0","210577",2007,NA
30,NA,1.68639895357023,NA,5.4,"SC01","1","210591",2003,7.8
31,1.68639895357023,1.69561560867515,5.4,5.45,"SC01","1","210591",2004,7.7
32,1.69561560867515,1.69561560867515,5.45,5.45,"SC01","1","210591",2005,8
