UID, Año,Plot,Einicial,Ecenso,Trans,Cuadro,Sample,Categoría,Etiqueta,Especie,X,Y,Supv,Altura,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,DB min,DB max,AB soto (m2/1ha),AB soto (cm2/1ha),AB soto (cm2),Sample (m2),Densidad soto sitio (32m2),Regen,LF,Observaciones
SS02-433310,2006,2,23,26,3,6,32,<1,137,Mimosa eurycarpa,4.21,14.41,1,1.63,1.8,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.8,0.079521564043992,795.215640439916,2.54469004940773,32,1,S,T,
SS02-433310,2007,2,23,27,3,6,32,<1,137,Mimosa eurycarpa,4.21,14.41,1,1.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.8,0.079521564043992,795.215640439916,2.54469004940773,32,1,S,T,
SS02-433310,2008,2,23,28,3,6,32,<1,137,Mimosa eurycarpa,4.21,14.41,1,2.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.8,0.079521564043992,795.215640439916,2.54469004940773,32,1,S,T,
SS02-433310,2009,2,23,29,3,6,32,<1,137,Mimosa eurycarpa,4.21,14.41,1,2.23,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,0.098174770424681,981.74770424681,3.14159265358979,32,1,S,T,
SS02-433310,2010,2,23,30,3,6,32,<1,137,Mimosa eurycarpa,4.21,14.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,T,
SS02-433310,2011,2,23,31,3,6,32,<1,137,Mimosa eurycarpa,4.21,14.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,T,
SS02-433310,2012,2,23,32,3,6,32,<1,137,Mimosa eurycarpa,4.21,14.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,T,
SS02-433310,2013,2,23,33,3,6,32,<1,137,Mimosa eurycarpa,4.21,14.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,T,
SS02-433310,2014,2,23,34,3,6,32,<1,137,Mimosa eurycarpa,4.21,14.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS02-433310,2015,2,23,35,3,6,32,<1,137,Mimosa eurycarpa,4.21,14.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
