"ln.h1","ln.h2","sup","Age","plot","id","Census","h1","h2"
0.482426149244293,0.438254930931155,1,6,11,"p11i153",2006,1.62,1.55
0.438254930931155,0.418710334858185,1,7,11,"p11i153",2007,1.55,1.52
0.418710334858185,0.667829372575655,1,8,11,"p11i153",2008,1.52,1.95
0.667829372575655,0.717839793150317,1,9,11,"p11i153",2009,1.95,2.05
0.717839793150317,0.78845736036427,1,10,11,"p11i153",2010,2.05,2.2
0.78845736036427,NA,0,11,11,"p11i153",NA,2.2,NA
NA,0.22314355131421,1,3,11,"p11i154",2003,NA,1.25
0.22314355131421,0.364643113587909,1,4,11,"p11i154",2004,1.25,1.44
0.364643113587909,0.0953101798043249,1,5,11,"p11i154",2005,1.44,1.1
0.0953101798043249,0.392042087776024,1,6,11,"p11i154",2006,1.1,1.48
0.392042087776024,-0.0408219945202552,1,7,11,"p11i154",2007,1.48,0.96
-0.0408219945202552,0.165514438477573,1,8,11,"p11i154",2008,0.96,1.18
0.165514438477573,-0.162518929497775,1,9,11,"p11i154",2009,1.18,0.85
-0.162518929497775,NA,0,10,11,"p11i154",2010,0.85,NA
NA,0.482426149244293,1,3,11,"p11i155",2003,NA,1.62
0.482426149244293,0.693147180559945,1,4,11,"p11i155",2004,1.62,2
0.693147180559945,0.810930216216329,1,5,11,"p11i155",2005,2,2.25
0.810930216216329,0.765467842139571,1,6,11,"p11i155",2006,2.25,2.15
0.765467842139571,0.717839793150317,1,7,11,"p11i155",2007,2.15,2.05
0.717839793150317,0.8754687373539,1,8,11,"p11i155",2008,2.05,2.4
0.8754687373539,0.693147180559945,1,9,11,"p11i155",2009,2.4,2
0.693147180559945,1.16315080980568,1,10,11,"p11i155",2010,2,3.2
1.16315080980568,NA,0,11,11,"p11i155",NA,3.2,NA
NA,-0.105360515657826,1,3,11,"p11i156",2003,NA,0.9
-0.105360515657826,-0.105360515657826,1,4,11,"p11i156",2004,0.9,0.9
-0.105360515657826,-0.356674943938732,1,5,11,"p11i156",2005,0.9,0.7
-0.356674943938732,NA,0,6,11,"p11i156",2006,0.7,NA
NA,0.364643113587909,1,3,11,"p11i167.1",2003,NA,1.44
0.364643113587909,0.444685821261446,1,4,11,"p11i167.1",2004,1.44,1.56
0.444685821261446,0.512823626428664,1,5,11,"p11i167.1",2005,1.56,1.67
0.512823626428664,0.500775287912489,1,6,11,"p11i167.1",2006,1.67,1.65
0.500775287912489,0.72270598280149,1,7,11,"p11i167.1",2007,1.65,2.06
0.72270598280149,0.76080582903376,1,8,11,"p11i167.1",2008,2.06,2.14
0.76080582903376,0.774727167552368,1,9,11,"p11i167.1",2009,2.14,2.17
0.774727167552368,1.04380405217311,1,10,11,"p11i167.1",2010,2.17,2.84
1.04380405217311,NA,0,11,11,"p11i167.1",NA,2.84,NA
NA,-0.867500567704723,1,6,11,"p11i282",2006,NA,0.42
-0.867500567704723,-0.22314355131421,1,7,11,"p11i282",2007,0.42,0.8
-0.22314355131421,-0.22314355131421,1,8,11,"p11i282",2008,0.8,0.8
-0.22314355131421,0.392042087776024,1,9,11,"p11i282",2009,0.8,1.48
0.392042087776024,0.506817602368452,1,10,11,"p11i282",2010,1.48,1.66
0.506817602368452,NA,0,11,11,"p11i282",NA,1.66,NA
NA,0.524728528934982,1,9,12,"p12i20",2003,NA,1.69
0.524728528934982,0.727548607277278,1,10,12,"p12i20",2004,1.69,2.07
0.727548607277278,0.78845736036427,1,11,12,"p12i20",2005,2.07,2.2
0.78845736036427,0.78845736036427,1,12,12,"p12i20",2006,2.2,2.2
0.78845736036427,0.904218150639886,1,13,12,"p12i20",2007,2.2,2.47
0.904218150639886,NA,0,14,12,"p12i20",2008,2.47,NA
NA,1.54756250871601,1,16,12,"p12iN87",2010,NA,4.7
1.54756250871601,1.64865862558738,1,17,12,"p12iN87",2011,4.7,5.2
1.64865862558738,1.50407739677627,1,18,12,"p12iN87",2012,5.2,4.5
1.50407739677627,NA,0,19,12,"p12iN87",2013,4.5,NA
NA,-0.776528789498996,1,16,13,"p13i102",2003,NA,0.46
-0.776528789498996,NA,0,17,13,"p13i102",2004,0.46,NA
NA,-0.0512932943875506,1,16,13,"p13i132",2003,NA,0.95
-0.0512932943875506,NA,0,17,13,"p13i132",2004,0.95,NA
NA,0.78845736036427,1,16,13,"p13i182",2003,NA,2.2
0.78845736036427,0.693147180559945,1,17,13,"p13i182",2004,2.2,2
0.693147180559945,NA,0,18,13,"p13i182",2005,2,NA
NA,-0.174353387144778,1,16,13,"p13i232",2003,NA,0.84
-0.174353387144778,0.0295588022415444,1,17,13,"p13i232",2004,0.84,1.03
0.0295588022415444,NA,0,18,13,"p13i232",2005,1.03,NA
NA,0.815364813284194,1,16,13,"p13i236",2003,NA,2.26
0.815364813284194,0.832909122935104,1,17,13,"p13i236",2004,2.26,2.3
0.832909122935104,NA,0,18,13,"p13i236",2005,2.3,NA
NA,-1.20397280432594,1,18,13,"p13i323",2005,NA,0.3
-1.20397280432594,-1.07880966137193,1,19,13,"p13i323",2006,0.3,0.34
-1.07880966137193,NA,0,20,13,"p13i323",2007,0.34,NA
NA,0.405465108108164,1,16,13,"p13i83",2003,NA,1.5
0.405465108108164,0.385262400790645,1,17,13,"p13i83",2004,1.5,1.47
0.385262400790645,0.576613364303994,1,18,13,"p13i83",2005,1.47,1.78
0.576613364303994,-1.6094379124341,1,19,13,"p13i83",2006,1.78,0.2
-1.6094379124341,-0.186329578191493,1,20,13,"p13i83",2007,0.2,0.83
-0.186329578191493,-0.400477566597125,1,21,13,"p13i83",2008,0.83,0.67
-0.400477566597125,NA,0,22,13,"p13i83",2009,0.67,NA
NA,1.10194007876078,1,16,13,"p13i89",2003,NA,3.01
1.10194007876078,NA,0,17,13,"p13i89",2004,3.01,NA
NA,-0.867500567704723,1,21,13,"p13iE147",2008,NA,0.42
-0.867500567704723,NA,0,22,13,"p13iE147",2009,0.42,NA
NA,-0.82098055206983,1,21,13,"p13iE148",2008,NA,0.44
-0.82098055206983,NA,1,22,13,"p13iE148",2009,0.44,NA
NA,NA,0,23,13,"p13iE148",2010,NA,NA
NA,0.22314355131421,1,1,14,"p14i152",2003,NA,1.25
0.22314355131421,0.717839793150317,1,2,14,"p14i152",2004,1.25,2.05
0.717839793150317,0.765467842139571,1,3,14,"p14i152",2005,2.05,2.15
0.765467842139571,0.810930216216329,1,4,14,"p14i152",2006,2.15,2.25
0.810930216216329,0.916290731874155,1,5,14,"p14i152",2007,2.25,2.5
0.916290731874155,0.916290731874155,1,6,14,"p14i152",2008,2.5,2.5
0.916290731874155,0.936093359170335,1,7,14,"p14i152",2009,2.5,2.55
0.936093359170335,0.955511445027436,1,8,14,"p14i152",2010,2.55,2.6
0.955511445027436,0.955511445027436,1,9,14,"p14i152",2011,2.6,2.6
0.955511445027436,NA,0,10,14,"p14i152",2012,2.6,NA
NA,0.254642218373581,1,1,14,"p14i156",2003,NA,1.29
0.254642218373581,0.993251773010283,1,2,14,"p14i156",2004,1.29,2.7
0.993251773010283,0.993251773010283,1,3,14,"p14i156",2005,2.7,2.7
0.993251773010283,1.07840958135059,1,4,14,"p14i156",2006,2.7,2.94
1.07840958135059,1.15688119679209,1,5,14,"p14i156",2007,2.94,3.18
1.15688119679209,1.25276296849537,1,6,14,"p14i156",2008,3.18,3.5
1.25276296849537,1.28093384546206,1,7,14,"p14i156",2009,3.5,3.6
1.28093384546206,1.30833281965018,1,8,14,"p14i156",2010,3.6,3.7
1.30833281965018,1.50407739677627,1,9,14,"p14i156",2011,3.7,4.5
1.50407739677627,1.55814461804655,1,10,14,"p14i156",2012,4.5,4.75
1.55814461804655,1.57069708411767,1,11,14,"p14i156",2013,4.75,4.81
1.57069708411767,NA,1,12,14,"p14i156",2014,4.81,NA
NA,NA,1,12,14,"p14i156",2015,NA,NA
NA,NA,1,14,14,"p14i156",2016,NA,NA
NA,NA,0,15,14,"p14i156",NA,NA,NA
NA,0.148420005118273,1,1,14,"p14i166",2003,NA,1.16
0.148420005118273,0.559615787935423,1,2,14,"p14i166",2004,1.16,1.75
0.559615787935423,0.779324876800998,1,3,14,"p14i166",2005,1.75,2.18
0.779324876800998,0.78845736036427,1,4,14,"p14i166",2006,2.18,2.2
0.78845736036427,1.06471073699243,1,5,14,"p14i166",2007,2.2,2.9
1.06471073699243,1.16315080980568,1,6,14,"p14i166",2008,2.9,3.2
1.16315080980568,0.741937344729377,1,7,14,"p14i166",2009,3.2,2.1
0.741937344729377,1.11514159061932,1,8,14,"p14i166",2010,2.1,3.05
1.11514159061932,1.16315080980568,1,9,14,"p14i166",2011,3.05,3.2
1.16315080980568,1.23837423104327,1,10,14,"p14i166",2012,3.2,3.45
1.23837423104327,1.23837423104327,1,11,14,"p14i166",2013,3.45,3.45
1.23837423104327,NA,1,12,14,"p14i166",2014,3.45,NA
NA,NA,1,12,14,"p14i166",2015,NA,NA
NA,NA,1,14,14,"p14i166",2016,NA,NA
NA,NA,0,15,14,"p14i166",NA,NA,NA
NA,-0.0202027073175195,1,1,14,"p14i172",2003,NA,0.98
-0.0202027073175195,0.494696241836107,1,2,14,"p14i172",2004,0.98,1.64
0.494696241836107,NA,0,3,14,"p14i172",NA,1.64,NA
NA,-0.127833371509885,1,1,14,"p14i176",2003,NA,0.88
-0.127833371509885,0.418710334858185,1,2,14,"p14i176",2004,0.88,1.52
0.418710334858185,NA,0,3,14,"p14i176",NA,1.52,NA
NA,-0.116533816255952,1,1,14,"p14i178",2003,NA,0.89
-0.116533816255952,0.300104592450338,1,2,14,"p14i178",2004,0.89,1.35
0.300104592450338,NA,0,3,14,"p14i178",NA,1.35,NA
NA,-1.04982212449868,1,1,14,"p14i179",2003,NA,0.35
-1.04982212449868,-0.843970070294529,1,2,14,"p14i179",2004,0.35,0.43
-0.843970070294529,-0.755022584278033,1,3,14,"p14i179",2005,0.43,0.47
-0.755022584278033,-0.916290731874155,1,4,14,"p14i179",2006,0.47,0.4
-0.916290731874155,NA,0,5,14,"p14i179",2007,0.4,NA
NA,-0.127833371509885,1,1,14,"p14i185",2003,NA,0.88
-0.127833371509885,0.336472236621213,1,2,14,"p14i185",2004,0.88,1.4
0.336472236621213,0.438254930931155,1,3,14,"p14i185",2005,1.4,1.55
0.438254930931155,NA,0,4,14,"p14i185",NA,1.55,NA
NA,-0.3147107448397,1,1,14,"p14i188",2003,NA,0.73
-0.3147107448397,0.19062035960865,1,2,14,"p14i188",2004,0.73,1.21
0.19062035960865,0.262364264467491,1,3,14,"p14i188",2005,1.21,1.3
0.262364264467491,0.182321556793955,1,4,14,"p14i188",2006,1.3,1.2
0.182321556793955,0.548121408509688,1,5,14,"p14i188",2007,1.2,1.73
0.548121408509688,0.693147180559945,1,6,14,"p14i188",2008,1.73,2
0.693147180559945,0.845868267577609,1,7,14,"p14i188",2009,2,2.33
0.845868267577609,0.8754687373539,1,8,14,"p14i188",2010,2.33,2.4
0.8754687373539,NA,0,9,14,"p14i188",2011,2.4,NA
NA,-0.462035459596559,1,1,14,"p14i2",2003,NA,0.63
-0.462035459596559,0.048790164169432,1,2,14,"p14i2",2004,0.63,1.05
0.048790164169432,-0.916290731874155,1,3,14,"p14i2",2005,1.05,0.4
-0.916290731874155,NA,0,4,14,"p14i2",2006,0.4,NA
NA,0.0769610411361284,1,1,14,"p14i217",2003,NA,1.08
0.0769610411361284,0.559615787935423,1,2,14,"p14i217",2004,1.08,1.75
0.559615787935423,0.65232518603969,1,3,14,"p14i217",2005,1.75,1.92
0.65232518603969,NA,0,4,14,"p14i217",NA,1.92,NA
NA,0.0953101798043249,1,1,14,"p14i218",2003,NA,1.1
0.0953101798043249,0.636576829071551,1,2,14,"p14i218",2004,1.1,1.89
0.636576829071551,NA,0,3,14,"p14i218",NA,1.89,NA
NA,-0.127833371509885,1,1,14,"p14i220",2003,NA,0.88
-0.127833371509885,0.542324290825362,1,2,14,"p14i220",2004,0.88,1.72
0.542324290825362,0.438254930931155,1,3,14,"p14i220",2005,1.72,1.55
0.438254930931155,0.641853886172395,1,4,14,"p14i220",2006,1.55,1.9
0.641853886172395,0.810930216216329,1,5,14,"p14i220",2007,1.9,2.25
0.810930216216329,NA,0,6,14,"p14i220",2008,2.25,NA
NA,-0.22314355131421,1,1,14,"p14i224",2003,NA,0.8
-0.22314355131421,0.470003629245736,1,2,14,"p14i224",2004,0.8,1.6
0.470003629245736,0.662687973075237,1,3,14,"p14i224",2005,1.6,1.94
0.662687973075237,NA,0,4,14,"p14i224",2006,1.94,NA
NA,0.0295588022415444,1,1,14,"p14i225",2003,NA,1.03
0.0295588022415444,0.482426149244293,1,2,14,"p14i225",2004,1.03,1.62
0.482426149244293,0.810930216216329,1,3,14,"p14i225",2005,1.62,2.25
0.810930216216329,NA,0,4,14,"p14i225",NA,2.25,NA
NA,-0.0725706928348354,1,1,14,"p14i226",2003,NA,0.93
-0.0725706928348354,0.672944473242426,1,2,14,"p14i226",2004,0.93,1.96
0.672944473242426,NA,0,3,14,"p14i226",NA,1.96,NA
NA,0.0676586484738149,1,1,14,"p14i241",2003,NA,1.07
0.0676586484738149,0.609765571620894,1,2,14,"p14i241",2004,1.07,1.84
0.609765571620894,0.470003629245736,1,3,14,"p14i241",2005,1.84,1.6
0.470003629245736,0.500775287912489,1,4,14,"p14i241",2006,1.6,1.65
0.500775287912489,0.548121408509688,1,5,14,"p14i241",2007,1.65,1.73
0.548121408509688,0.548121408509688,1,6,14,"p14i241",2008,1.73,1.73
